CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"10,028","1,012","16,974",20.36,121.10,-10.60,50,121.10,122.95,50,"16,100.00",100,510.50,520.00,50,26.70,518.10,24.09,"1,749",-154,"14,853",
,996,91,"1,038",20.27,105.65,-8.55,100,105.00,110.95,50,"16,150.00","1,250",537.05,569.60,150,22.35,548.20,23.83,84,-13,532,
,"20,901","1,553","31,986",20.07,92.90,-8.50,"1,000",92.30,93.20,50,"16,200.00",150,585.00,588.00,50,29.00,588.00,24.01,"4,849",-23,"16,170",
,"1,933",127,"1,610",20.01,85.00,-3.85,100,78.80,85.00,50,"16,250.00",50,624.70,634.85,50,20.40,620.00,23.74,141,-22,746,
,"32,068","3,253","27,086",19.95,70.50,-6.45,150,69.40,70.50,"1,800","16,300.00",50,655.50,666.45,50,29.35,662.30,23.98,"1,581",-96,"12,128",
,"1,637",45,"1,402",19.92,61.10,-6.15,600,61.10,62.00,50,"16,350.00",500,694.00,712.20,50,32.35,705.00,24.60,55,-8,530,
,"18,812",129,"21,393",19.92,53.90,-4.35,50,52.70,53.95,150,"16,400.00",50,740.50,748.60,150,32.75,747.00,24.65,"1,361",-102,"10,997",
,"3,350","1,668","4,619",20.07,50.95,-0.25,50,45.75,47.15,50,"16,450.00",200,758.45,807.20,600,49.10,790.00,25.20,11,-7,670,
,"45,152","2,211","37,660",20.02,41.10,-3.55,50,40.15,41.15,50,"16,500.00",50,833.00,834.20,150,33.15,833.00,25.56,"4,282",215,"30,983",
,"1,166",141,"1,530",20.08,35.15,-2.10,200,34.35,35.10,50,"16,550.00",50,870.20,884.35,50,44.10,878.65,25.97,46,-8,333,
,"20,373","1,535","18,343",20.01,29.90,-2.80,50,29.80,29.85,50,"16,600.00",50,916.85,924.00,100,23.40,922.00,26.16,739,-39,"8,259",
,"1,479",127,902,20.09,25.75,-2.80,50,25.70,26.55,"2,800","16,650.00",450,961.90,985.20,50,-6.15,960.00,25.55,7,-4,298,
,"18,908",172,"21,502",20.26,21.00,-3.75,100,21.50,22.90,100,"16,700.00",500,"1,010.10","1,020.60",500,28.70,"1,011.80",26.74,194,-13,"5,064",
,"1,637",218,"1,795",20.39,20.00,-1.75,100,18.85,20.50,50,"16,750.00",150,"1,050.15","1,070.85",100,37.45,"1,054.45",26.62,47,-4,329,
,"15,041",-677,"13,235",20.47,17.30,-1.90,200,17.00,17.30,"2,750","16,800.00",50,"1,102.95","1,111.35",150,26.05,"1,106.25",27.32,86,-33,"3,546",
,878,-201,"1,285",20.68,15.75,-1.30,50,15.00,16.25,750,"16,850.00",200,"1,147.45","1,167.00",150,45.00,"1,135.00",25.21,20,15,211,
,"7,921",-741,"6,337",20.82,13.45,-1.40,100,13.40,13.60,50,"16,900.00","1,700","1,198.90","1,209.45",200,10.75,"1,197.75",28.27,40,-1,"1,280",
,"1,207",-45,"1,189",21.20,11.70,-1.95,50,11.90,13.65,50,"16,950.00",50,"1,244.45","1,278.20",100,-61.00,"1,191.95",-,4,-,227,
,"51,781","1,725","27,011",21.33,10.80,-1.45,"1,000",10.80,11.00,300,"17,000.00",100,"1,300.00","1,303.80",500,33.45,"1,304.25",29.88,"1,187",-301,"18,611",
,"2,456",-31,610,21.65,9.90,-1.15,50,9.80,26.85,50,"17,050.00",50,"1,333.65","1,397.45",550,31.05,"1,327.55",27.00,1,-,187,
,"6,206",-672,"6,351",21.71,8.90,-0.55,50,8.70,9.10,"4,650","17,100.00",250,"1,394.15","1,405.25",200,27.00,"1,393.05",30.87,25,-5,"1,431",
,729,13,291,22.02,7.70,-1.10,50,7.80,11.10,50,"17,150.00",50,"1,432.85","1,453.15",250,-,-,-,-,-,119,
,"11,543",-732,"6,648",22.00,7.10,-0.25,50,6.60,7.35,50,"17,200.00",50,"1,488.40","1,500.00",50,-14.15,"1,496.85",33.21,40,-6,"2,743",
,881,-,135,22.35,6.10,-1.00,50,6.10,7.40,250,"17,250.00",50,"1,517.05","1,550.80",100,45.80,"1,503.55",22.24,4,-1,34,
,"9,804",-305,"3,146",22.59,5.45,-0.70,50,5.45,5.90,50,"17,300.00",50,"1,583.85","1,597.50",200,-9.05,"1,581.00",31.70,18,-15,"2,419",
,293,-67,189,23.20,5.55,-0.45,"1,500",3.75,5.60,50,"17,350.00","1,250","1,582.70","1,663.40",50,31.65,"1,631.20",32.53,6,2,60,
,"10,401",-212,"1,938",23.38,4.90,-0.25,400,4.80,5.00,50,"17,400.00",50,"1,682.70","1,693.60",150,14.70,"1,675.00",31.84,4,-2,779,
,653,20,164,23.87,4.85,-0.30,250,4.85,5.30,50,"17,450.00",50,"1,618.95","1,771.10",50,-12.35,"1,688.90",-,8,-,13,
,"33,743",-366,"6,422",24.58,5.25,0.05,100,5.10,5.25,650,"17,500.00",50,"1,785.65","1,796.40",650,31.35,"1,788.10",36.32,243,-77,"14,553",
,578,4,125,24.61,4.35,-0.25,"2,400",4.30,4.50,150,"17,550.00","1,250","1,785.35","1,864.30",50,-59.35,"1,805.75",27.63,4,-,32,
,"4,961",-320,"2,318",25.08,4.10,-0.20,950,4.10,4.40,750,"17,600.00",50,"1,866.10","1,900.25",50,-34.60,"1,854.50",27.69,3,-1,"1,358",
,400,2,24,25.59,4.20,-0.25,"2,800",3.25,4.40,50,"17,650.00","1,250","1,811.50","1,959.75",50,-54.90,"1,914.90",32.64,4,1,11,
,"7,868",-154,"1,525",25.64,3.60,0.15,50,3.25,3.95,750,"17,700.00",50,"1,961.95","2,002.35",250,24.65,"1,944.65",-,3,-1,506,
,424,-49,243,25.61,3.10,-0.40,"3,300",2.60,4.25,50,"17,750.00","1,250","1,990.75","2,106.65","1,250",-48.70,"1,967.00",-,1,-,28,
,"9,382",-223,"2,436",26.13,2.95,-0.10,50,2.95,3.20,50,"17,800.00",50,"2,080.85","2,103.60",50,58.90,"2,103.90",44.17,9,-4,775,
,415,-15,88,26.76,3.20,0.15,"2,800",3.00,4.10,50,"17,850.00","1,250","2,088.45","2,186.25",100,-,-,-,-,-,31,
,"5,975",-314,"1,072",27.11,3.35,0.20,"2,250",3.05,3.65,50,"17,900.00",100,"2,175.00","2,198.65",100,-,-,-,-,-,350,
,197,-12,27,27.95,3.35,-0.05,200,2.65,3.70,50,"17,950.00",50,"2,225.75","2,265.50",50,-,-,-,-,-,12,
,"30,670",449,"5,906",28.51,3.85,0.45,250,3.35,3.90,300,"18,000.00",500,"2,280.30","2,290.35",150,30.65,"2,290.10",42.09,182,-4,"10,911",
,209,21,188,29.02,3.40,0.40,50,2.90,4.15,250,"18,050.00","1,250","2,286.05","2,438.80","1,250",-,-,-,-,-,4,
,913,-149,450,29.30,3.20,-,700,2.40,3.20,50,"18,100.00",50,"2,374.45","2,432.90",50,-36.70,"2,373.80",41.75,4,2,235,
,108,-,-,-,-,-,"2,800",2.05,-,-,"18,150.00","1,250","2,329.05","2,543.45","1,250",-,-,-,-,-,6,
,"1,642",-6,358,30.06,3.00,-0.25,600,2.50,3.55,750,"18,200.00",50,"2,471.95","2,524.25",450,-8.70,"2,487.70",46.77,3,-,573,
,115,-,2,30.80,3.20,-,500,2.10,4.45,300,"18,250.00",50,"2,519.75","2,568.55",50,-,-,-,-,-,5,
,"1,277",-6,36,30.98,2.95,-0.20,150,3.00,3.70,200,"18,300.00",100,"2,570.60","2,598.65",50,-,-,-,-,-,277,
,104,-,-,-,-,-,50,2.60,-,-,"18,350.00","1,250","2,524.00","2,792.60","1,250",-,-,-,-,-,1,
,511,5,34,31.83,2.85,-0.15,100,2.50,3.70,200,"18,400.00",100,"2,658.65","2,697.60",50,2.75,"2,662.00",41.98,8,-,190,
,56,3,7,32.51,3.00,0.30,500,2.10,4.00,300,"18,450.00",100,"2,714.00","2,755.05",50,-,-,-,-,-,-,
,"6,704",-53,"1,908",32.79,3.10,0.10,"2,250",2.75,3.15,550,"18,500.00",100,"2,773.70","2,793.15",50,20.80,"2,770.00",46.15,84,-8,"5,705",
,31,-,-,-,-,-,50,2.95,-,-,"18,550.00","1,250","2,714.90","2,924.50","1,250",-,-,-,-,-,1,
,247,-34,54,33.60,2.75,-0.15,300,2.50,3.70,300,"18,600.00","1,250","2,760.65","2,956.90","1,250",-52.00,"2,850.45",38.85,6,-,66,
,48,-,-,-,-,-,500,2.10,-,-,"18,650.00","1,250","2,809.40","3,122.35","1,250",-,-,-,-,-,-,
,496,100,309,34.76,2.90,0.15,600,2.20,3.70,350,"18,700.00","1,250","2,876.85","3,103.95","1,350",-15.80,"2,949.20",39.30,4,2,68,
,63,-25,126,34.38,2.35,-0.50,"2,800",2.05,3.00,200,"18,750.00",50,"3,003.25","3,127.85",50,-,-,-,-,-,-,
,171,-6,48,35.62,2.85,0.15,50,2.65,3.10,300,"18,800.00",50,"3,055.95","3,116.00",50,-35.00,"3,060.00",46.47,2,-,44,
,307,-,-,-,-,-,"2,800",2.30,-,-,"18,850.00","1,250","3,001.30","3,289.35","1,250",-,-,-,-,-,1,
,542,-,36,36.32,2.70,-0.25,600,2.40,3.70,300,"18,900.00","2,750","2,976.90","3,288.80","1,000",-,-,-,-,-,5,
,76,-,4,36.78,2.70,0.05,"2,800",2.05,-,-,"18,950.00",50,"3,178.80","3,344.60","1,000",-,-,-,-,-,1,
,"13,321",-15,"1,632",37.62,3.00,0.05,"1,800",2.80,3.05,150,"19,000.00",50,"3,267.95","3,287.70",50,38.60,"3,266.00",51.44,29,-14,"7,568",
,33,-,-,-,-,-,500,2.10,-,-,"19,050.00","3,750","3,031.70","3,431.25","1,000",-,-,-,-,-,-,
,124,-3,10,36.99,2.05,-0.45,"2,700",2.05,3.00,50,"19,100.00",50,"3,344.60","3,540.40","1,000",-21.20,"3,328.80",-,1,-,72,
,18,5,10,38.43,2.60,-0.35,"2,800",2.05,3.90,300,"19,150.00",50,"3,318.45","3,514.60",50,-,-,-,-,-,1,
,123,-2,10,37.87,2.05,-0.80,"2,700",2.05,2.90,150,"19,200.00",50,"3,450.00","3,580.75",50,-,-,-,-,-,24,
,36,2,4,38.50,2.15,-0.50,"2,800",2.05,-,-,"19,250.00",50,"3,510.75","3,618.70",50,-,-,-,-,-,-,
,42,-,1,38.74,2.05,-0.50,100,2.00,2.80,50,"19,300.00","2,750","3,341.00","3,685.65","1,000",-,-,-,-,-,12,
,3,-,-,-,-,-,"2,800",2.05,-,-,"19,350.00",50,"3,601.45","3,650.95",50,-,-,-,-,-,1,
,128,-,-,-,-,-,50,2.25,2.75,100,"19,400.00",50,"3,643.20","3,788.75",50,-,-,-,-,-,28,
,62,2,11,40.04,2.05,-0.45,"2,600",2.05,2.90,200,"19,450.00",50,"3,702.80","3,949.70","1,000",502.75,"3,696.75",47.32,1,-,1,
,"2,742",-36,442,42.04,2.90,0.20,150,2.85,3.00,300,"19,500.00",50,"3,681.75","3,970.65","1,200",-19.40,"3,711.35",-,20,-11,"1,184",
,57,-,-,-,-,-,50,2.30,3.20,"1,900","19,550.00",50,"3,808.60","3,972.80",50,-,-,-,-,-,1,
,"12,510",148,"1,205",45.72,2.55,-,"4,150",2.00,2.75,750,"20,000.00",50,"4,260.30","4,273.75",250,34.15,"4,257.65",60.63,32,-17,"11,945",
,"4,043",-29,84,49.73,2.50,0.10,"1,000",2.00,2.75,300,"20,500.00",-,-,-,-,-,-,-,-,-,-,-
,"3,809",38,85,53.82,2.55,0.10,800,2.20,2.70,200,"21,000.00",50,"5,247.90","5,323.15",50,-,-,-,-,-,373,
,"1,105",1,71,61.16,2.45,-0.05,200,2.25,2.50,200,"22,000.00","2,750","5,985.95","6,345.60",100,-6.00,"6,250.00",80.17,1,-,21,
,"3,612",255,606,68.27,2.45,0.10,"2,800",2.10,2.45,"5,550","23,000.00","1,050","7,006.95","7,407.80",850,-17.10,"7,230.00",75.03,1,-,6,
