CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
-,-,-,-,-,-,-,-,-,-,-,"8,300.00",100,1.75,1.80,300,-0.20,1.80,111.84,"1,226",626,"1,368",
-,-,-,-,-,-,-,-,-,-,-,"10,000.00",200,1.60,2.40,300,-0.35,1.70,80.77,292,98,811,
,"11,861",-,5,-,"5,144.40",-55.80,50,"5,123.55","5,192.10",50,"10,500.00","2,800",1.65,1.95,50,-0.15,1.75,72.93,356,117,"4,108",
-,-,-,-,-,-,-,-,-,-,-,"10,700.00","2,500",0.30,-,-,-,-,-,-,-,19,
-,-,-,-,-,-,-,-,-,-,-,"10,800.00",50,0.55,3.00,500,-1.85,2.00,69.18,2,-,149,
-,-,-,-,-,-,-,-,-,-,-,"10,900.00",50,0.55,-,-,-,-,-,-,-,86,
,3,-,4,-,"4,720.00",-58.95,"2,750","4,472.25","4,919.85",550,"11,000.00","3,650",1.80,2.30,"1,200",-0.05,1.80,66.26,878,277,"1,232",
-,-,-,-,-,-,-,-,-,-,-,"11,100.00","1,000",0.50,-,-,-,-,-,-,-,165,
-,-,-,-,-,-,-,-,-,-,-,"11,200.00",50,0.55,-,-,-,-,-,-,-,62,
-,-,-,-,-,-,-,-,-,-,-,"11,300.00",350,1.60,3.50,50,-,1.50,59.76,3,-2,175,
-,-,-,-,-,-,-,-,-,-,-,"11,400.00","1,800",0.60,-,-,-,-,-,-,-,191,
-,-,-,-,-,-,-,-,-,-,-,"11,500.00","2,800",1.60,2.50,150,0.40,2.40,59.71,80,-6,637,
-,-,-,-,-,-,-,-,-,-,-,"11,600.00","1,900",2.20,3.00,50,-,2.20,57.67,4,-,302,
-,-,-,-,-,-,-,-,-,-,-,"11,700.00",500,1.45,-,-,-,-,-,-,-,144,
,258,-,-,-,-,-,"2,750","3,755.00","3,989.95","1,000","11,800.00",500,1.80,3.80,"2,000",-0.35,2.70,55.97,2,1,241,
-,-,-,-,-,-,-,-,-,-,-,"11,900.00",700,1.55,-,-,-,-,-,-,-,333,
,24,-1,9,-,"3,680.65",-9.35,50,"3,672.85","3,700.40",50,"12,000.00","2,400",2.10,2.20,"2,000",0.05,2.20,51.70,791,-68,"4,276",
-,-,-,-,-,-,-,-,-,-,-,"12,100.00",50,1.65,-,-,-,-,-,-,-,6,
-,-,-,-,-,-,-,-,-,-,-,"12,200.00",600,0.20,-,-,-,3.05,50.80,1,-,6,
-,-,-,-,-,-,-,-,-,-,-,"12,300.00",-,-,6.50,"2,800",-0.20,3.65,50.40,121,33,39,
-,-,-,-,-,-,-,-,-,-,-,"12,500.00",500,2.70,3.25,500,-,2.95,45.69,998,10,433,
-,-,-,-,-,-,-,-,-,-,-,"12,600.00",50,2.65,-,-,-,-,-,-,-,12,
-,-,-,-,-,-,-,-,-,-,-,"12,700.00",600,2.35,3.50,150,-1.45,2.35,42.27,18,8,25,
-,-,-,-,-,-,-,-,-,-,-,"12,800.00","3,500",1.55,-,-,-,-,-,-,-,1,
,"2,331",-8,120,-,"2,688.00",-40.85,50,"2,677.30","2,695.55",50,"13,000.00","1,300",4.20,4.30,100,0.05,4.20,40.54,"2,426",-156,"8,074",
-,-,-,-,-,-,-,-,-,-,-,"13,400.00",150,5.20,6.20,50,-0.35,5.80,36.75,895,183,"1,239",
,"7,655",-110,319,-,"1,709.20",-31.55,250,"1,700.15","1,714.90",50,"14,000.00",50,11.90,12.70,50,-0.45,11.80,31.92,"13,612","1,488","35,338",
,-,-,-,-,-,-,"1,250","1,412.30","1,550.40","1,250","14,250.00",50,18.00,19.00,100,5.30,19.35,30.08,302,86,87,
,16,-,9,18.14,"1,441.00",-57.00,"1,250","1,325.45","1,484.80","1,250","14,300.00",50,19.65,20.00,150,1.40,19.65,29.35,"4,829","1,166","9,727",
,85,-,9,35.21,"1,439.00",49.65,"1,300","1,335.25","1,390.15",100,"14,350.00",50,20.05,30.25,"1,000",2.05,22.70,29.35,294,152,731,
,14,1,11,20.58,"1,344.25",2.80,"1,300","1,234.05","1,392.30","1,250","14,400.00",50,24.50,25.60,100,2.55,25.30,29.15,"2,227",20,"4,141",
,7,2,8,29.22,"1,320.05",15.75,100,"1,256.95","1,296.50",50,"14,450.00",50,25.85,37.10,"1,000",7.55,32.25,29.93,48,8,101,
,"7,297",-48,338,-,"1,228.10",-34.95,150,"1,222.95","1,235.50",50,"14,500.00",50,31.10,31.70,150,2.75,31.35,28.86,"17,736","2,864","51,572",
,7,2,8,23.60,"1,206.10",27.10,50,"1,146.65","1,244.45","1,250","14,550.00","1,850",14.60,39.10,50,1.45,32.25,28.50,339,77,497,
,44,2,4,19.98,"1,148.85",-1.15,"1,850","1,057.40","1,191.75",500,"14,600.00",50,27.10,38.20,50,-6.50,27.00,28.30,"5,329",227,"9,196",
,7,3,8,18.99,"1,098.55",-17.70,50,"1,059.50","1,114.65",50,"14,650.00",100,40.10,49.95,50,4.45,41.95,28.08,96,15,107,
,29,1,3,16.08,"1,045.00",-,400,"1,035.90","1,094.40","1,350","14,700.00",150,45.55,47.00,50,5.10,45.55,27.84,"6,791",-540,"5,052",
,5,2,10,32.00,"1,072.90",-38.05,"1,300",957.05,"1,021.95",200,"14,750.00",100,47.65,55.00,50,4.70,51.50,27.71,341,45,384,
,64,2,4,20.20,960.00,4.10,300,947.70,971.25,50,"14,800.00",500,54.10,56.70,100,7.20,56.55,27.35,"8,156",333,"9,117",
,4,2,8,28.37,962.85,-32.80,150,885.75,957.70,"1,250","14,850.00",100,57.55,64.45,50,8.55,64.45,26.86,368,18,321,
,34,2,5,28.76,924.50,20.50,300,863.50,883.75,"1,000","14,900.00",450,68.00,70.10,50,6.45,68.00,26.98,"8,461","1,058","5,499",
,10,-,4,25.27,856.50,35.45,50,812.65,850.05,600,"14,950.00",100,69.35,77.50,50,8.75,75.65,26.76,506,94,680,
,"9,195",110,"2,575",20.79,780.00,-33.65,50,780.05,788.30,50,"15,000.00",50,82.90,84.00,"1,650",7.85,83.60,26.63,"43,536","2,108","64,806",
,49,2,7,24.47,768.10,-28.60,50,728.00,769.35,150,"15,050.00",50,91.00,104.95,50,11.10,94.05,26.37,697,-30,530,
,373,-1,46,21.69,705.00,-24.25,300,693.75,710.80,200,"15,100.00",50,98.05,104.30,50,14.00,104.15,26.21,"7,224",3,"6,824",
,98,-1,10,22.01,667.20,-0.70,50,604.95,670.00,150,"15,150.00",50,79.20,113.10,50,13.00,112.60,25.97,458,25,533,
,855,37,388,21.55,620.60,-20.40,50,614.95,635.05,100,"15,200.00",650,119.90,123.95,800,10.40,121.00,25.86,"13,975",943,"20,535",
,156,-1,11,23.01,599.35,24.80,50,568.10,597.45,50,"15,250.00",100,126.85,138.75,50,13.55,133.10,25.76,"1,161",217,815,
,"1,034",-38,759,21.52,544.70,-26.70,100,540.20,550.00,50,"15,300.00",100,144.30,145.65,50,11.15,145.75,25.54,"19,957","2,060","15,434",
,214,5,17,21.29,509.00,-69.35,450,492.50,524.70,600,"15,350.00",100,152.55,165.00,50,7.25,156.45,25.55,350,8,874,
,"1,186",222,"1,129",21.76,477.85,-19.95,150,472.20,484.50,100,"15,400.00",950,174.30,175.75,800,13.20,174.30,25.30,"9,620",300,"11,433",
,90,-10,72,21.72,445.35,-18.75,150,438.75,452.55,50,"15,450.00",100,190.00,198.85,50,19.70,195.50,25.14,"1,437",260,"1,290",
,"9,373",-11,"8,034",21.55,412.00,-18.95,800,411.00,414.70,150,"15,500.00",350,208.50,209.00,950,15.15,209.00,25.12,"54,217","7,114","71,540",
,205,-11,95,21.93,383.10,-17.55,200,364.00,385.90,200,"15,550.00",50,220.05,229.00,100,15.30,228.95,24.92,"1,836",331,"1,411",
,"4,788","1,544","16,274",21.63,353.00,-16.80,100,344.90,353.80,50,"15,600.00",100,246.00,248.15,700,19.80,248.15,24.91,"32,700","2,991","19,552",
,507,216,"1,532",21.31,321.05,-13.65,700,321.05,325.00,50,"15,650.00",50,267.25,275.00,550,21.35,270.00,24.80,"2,688",481,"1,209",
,"26,267","13,006","89,996",21.47,295.00,-13.70,750,293.15,295.00,50,"15,700.00",100,290.00,292.35,100,20.35,290.00,24.72,"95,312","16,105","42,524",
,"1,744",318,"7,933",21.11,266.95,-15.75,750,264.05,267.10,50,"15,750.00",100,309.50,313.00,150,22.45,313.00,24.45,"6,278",311,"1,617",
,"27,272","5,259","63,277",21.05,241.00,-14.95,200,241.00,242.55,100,"15,800.00",150,334.65,337.95,550,22.00,337.95,24.42,"53,599","2,971","31,540",
,"1,247",82,"2,690",20.95,218.05,-15.30,50,217.70,219.85,50,"15,850.00",50,355.75,365.10,400,27.15,365.10,24.08,712,2,801,
,"11,541",836,"27,624",20.89,196.00,-13.00,50,195.05,195.95,50,"15,900.00",100,388.90,393.20,800,24.05,388.90,24.18,"12,504",-377,"12,989",
,"2,741",-320,"4,806",20.75,175.00,-12.40,50,175.05,176.45,50,"15,950.00",50,419.20,425.60,50,29.85,424.75,24.06,463,-47,"2,458",
,"42,363","2,016","62,244",20.64,155.00,-13.65,50,155.95,156.00,200,"16,000.00",300,450.00,453.55,50,23.55,451.00,23.99,"27,408","1,822","64,445",
,"1,053",-48,916,20.45,135.90,-12.95,50,120.20,143.00,50,"16,050.00",250,426.90,495.90,200,21.55,481.70,23.98,192,-26,997,
